ZCODE,the_geom,ZONE_TYPE,GlobalID,PUD_TYPE_N,PUD_TYPE,SHAPE_area,SHAPE_len
27,"MULTIPOLYGON (((-71.12928809314096 42.39015784542275, -71.12944043794761 42.389636909713246, -71.13045307822539 42.38987184750077, -71.13046062433713 42.389872777276196, -71.13060008216823 42.38989583613539, -71.13063587987097 42.38990185078494, -71.13065614386707 42.38990553799231, -71.13066320091467 42.38990781077426, -71.13066393964598 42.389908087551554, -71.13068177319734 42.389915937925174, -71.1307017513187 42.38992420678807, -71.13070677902144 42.38992534798927, -71.13086279941875 42.38995842062472, -71.13120224523772 42.390016228833574, -71.13167090260157 42.390096045482395, -71.13153325673775 42.39053687711011, -71.13044271139313 42.39034085646917, -71.1304065787036 42.390335115090906, -71.13032321804535 42.39032192277723, -71.13024662558506 42.39030976745481, -71.12928809314096 42.39015784542275)))",IA-1,{BBA72F8B-BE76-47C5-B1A3-5E25A3BEA07A},,,107153.51405,1607.45797036
28,"MULTIPOLYGON (((-71.13167090260157 42.390096045482395, -71.13120224523772 42.390016228833574, -71.13119875395083 42.38992302934892, -71.1311939822365 42.389795497559994, -71.13122319849774 42.389800201223245, -71.1312317429415 42.38980132623196, -71.13122510551378 42.38961920909411, -71.1317429011654 42.389606735540475, -71.13174123630463 42.38958115556674, -71.13187067657014 42.38957632861094, -71.13224203985683 42.38956245124739, -71.13224344664381 42.389562428303066, -71.1322286246923 42.38932318115889, -71.13228605447483 42.38932037367951, -71.13265940417864 42.38930200106177, -71.132661207489 42.38934204266459, -71.13329712168505 42.38933600353234, -71.13348784390642 42.38933422387037, -71.1336742350419 42.38933245754409, -71.13385677614606 42.389330733545926, -71.13385987650504 42.38944736598279, -71.1338799702333 42.38945489376547, -71.13405054931843 42.38952453184795, -71.13404744494107 42.38948528191097, -71.13439169250024 42.38958977245345, -71.13445351391292 42.38960851871937, -71.13447722271367 42.390002448990835, -71.13448313339481 42.3901005953523, -71.13448887471385 42.390196024553944, -71.13450447565918 42.3904557170499, -71.13450920344552 42.390534376818366, -71.13450957938569 42.3905397838101, -71.1340683675859 42.39050089764901, -71.13291087976363 42.39030616930223, -71.13270570645115 42.390271652855084, -71.13252006154279 42.39024007967361, -71.13191812203364 42.39013772308433, -71.1318429398045 42.39012494220158, -71.13175902802632 42.39011103570851, -71.13167090260157 42.390096045482395)))",B,{F3B48D3D-F452-482F-85DF-1659CE0785CE},,,271006.86275,2471.90184668
286,"MULTIPOLYGON (((-71.12928028966418 42.39015661289469, -71.1292791431071 42.390156444556986, -71.12921398345983 42.39014531324167, -71.12714830214512 42.38979228279867, -71.12706605839847 42.389778241079405, -71.12700552223734 42.38976786439169, -71.12699295169642 42.38977781202461, -71.12696907467256 42.38979677840349, -71.12690831236192 42.38978708694678, -71.12684185436805 42.389776553768236, -71.12676230466195 42.389763920039684, -71.12668893109107 42.38975226671541, -71.12661688884855 42.389740837189336, -71.12654015006247 42.389728624037446, -71.12646463139448 42.38971666176067, -71.12636736711187 42.38970122618805, -71.12621041533377 42.389663397193594, -71.12620405740813 42.38966186730558, -71.12579507458456 42.38959577810073, -71.12559135208069 42.38956108901677, -71.12559005764071 42.38956089272043, -71.1254760446847 42.38954213645838, -71.12532346052559 42.389517025471235, -71.12531972527685 42.389516437055235, -71.1252145504689 42.389499218546675, -71.12508024035651 42.38948248126415, -71.1249917221642 42.38947171048764, -71.1249742255936 42.389469595415925, -71.12457815313971 42.389411611494346, -71.12446678543311 42.389358918815766, -71.12431984132058 42.38933168453314, -71.12418151284596 42.38930604231837, -71.12403649170709 42.389279170681604, -71.12377998716998 42.38923165577969, -71.12281637638642 42.38907379079585, -71.12239257709018 42.38900434801857, -71.12194577684579 42.388931123620814, -71.12194396453255 42.38893087070055, -71.12188364457177 42.3889217542898, -71.1216277935344 42.388883072605, -71.1213526004961 42.38884147287541, -71.12133806599982 42.38883928467523, -71.12120056750878 42.38881759304797, -71.12137320126655 42.388294237346464, -71.12138224984761 42.38826674417055, -71.12141056290949 42.3881809481623, -71.12141963283646 42.38819316164496, -71.12142699046566 42.38820078690785, -71.12144355667868 42.388216016081294, -71.12146268766142 42.38822947004925, -71.12148397755522 42.38824092795013, -71.12149471775456 42.38824620444207, -71.12149497620752 42.388246315054786, -71.12150472700384 42.388249914412576, -71.12151898386443 42.388255175029705, -71.12155250736232 42.388263599807956, -71.12221366264806 42.388380584111644, -71.12363679225273 42.38863062202775, -71.12433812805307 42.388752198332774, -71.1243886409154 42.38876095215478, -71.12496482487842 42.388863950318054, -71.12502561201154 42.38890670883561, -71.12509923252126 42.3889576589996, -71.12805280595435 42.38942983845424, -71.12814018637648 42.3891117274427, -71.12810124523811 42.389105317684724, -71.12813494722582 42.38899549950568, -71.1282035601168 42.38877795250397, -71.12835046057897 42.388774887247486, -71.12868390782309 42.389367336477406, -71.12872621672476 42.389443263974115, -71.12873082169872 42.389472256118836, -71.12944043794761 42.389636909713246, -71.12928809314096 42.39015784542275, -71.12928028966418 42.39015661289469)))",C-1A,{A89DE6FC-C5C7-46BD-8768-17C4C1C99CC1},,,474286.5724,5311.97276304
30,"MULTIPOLYGON (((-71.12944043794761 42.389636909713246, -71.12873082169872 42.389472256118836, -71.12872621672476 42.389443263974115, -71.12868390782309 42.389367336477406, -71.12835046057897 42.388774887247486, -71.12829928213384 42.388684058131126, -71.12874368437384 42.38852987715489, -71.12883774566264 42.38849168142821, -71.12913150642817 42.38837224667266, -71.12956619008763 42.38819552988919, -71.1297319427185 42.38812716001216, -71.12981802886544 42.388091599559864, -71.12996185157616 42.38803224163968, -71.12984332832137 42.38784836497868, -71.12984955601183 42.38784050955545, -71.12985063437094 42.38783335102258, -71.12984829743652 42.38782154403779, -71.12984571656376 42.387813468192554, -71.1298063574038 42.38777108300907, -71.13045911232425 42.38753466745808, -71.13090179113628 42.3873753960981, -71.13126249048291 42.38794388743156, -71.13132506465168 42.388042599764844, -71.13158295841077 42.38844899811247, -71.13165620786133 42.38856445576539, -71.13170545722986 42.38854878018228, -71.13191310422089 42.388875850723124, -71.13193306511803 42.38890612668958, -71.13226309441018 42.38897830799562, -71.13225880126198 42.38891452229701, -71.13263793670176 42.38890656823713, -71.13265450735224 42.389208248313174, -71.13265831926023 42.3892784809977, -71.13265940417864 42.38930200106177, -71.13228605447483 42.38932037367951, -71.1322286246923 42.38932318115889, -71.13224344664381 42.389562428303066, -71.13224203985683 42.38956245124739, -71.13187067657014 42.38957632861094, -71.13174123630463 42.38958115556674, -71.1317429011654 42.389606735540475, -71.13122510551378 42.38961920909411, -71.1312317429415 42.38980132623196, -71.13122319849774 42.389800201223245, -71.1311939822365 42.389795497559994, -71.13119875395083 42.38992302934892, -71.13120224523772 42.390016228833574, -71.13086279941875 42.38995842062472, -71.13070677902144 42.38992534798927, -71.1307017513187 42.38992420678807, -71.13068177319734 42.389915937925174, -71.13066393964598 42.389908087551554, -71.13066320091467 42.38990781077426, -71.13065614386707 42.38990553799231, -71.13063587987097 42.38990185078494, -71.13060008216823 42.38989583613539, -71.13046062433713 42.389872777276196, -71.13045307822539 42.38987184750077, -71.12944043794761 42.389636909713246)))",C-2,{8CC2B248-026A-4D80-B564-444C88048DE2},,,590569.2457,3598.00579771
32,"MULTIPOLYGON (((-71.13126249048291 42.38794388743156, -71.13200357569106 42.387679701870574, -71.13217552401491 42.38793276024776, -71.13224232193149 42.38803104653049, -71.13247527192881 42.388373838113104, -71.13256833880764 42.388519076664245, -71.13260344132453 42.388587296352966, -71.13260674934767 42.38859770690749, -71.13261343783478 42.38861880265353, -71.13262812759262 42.38872811807047, -71.13263793670176 42.38890656823713, -71.13225880126198 42.38891452229701, -71.13226309441018 42.38897830799562, -71.13193306511803 42.38890612668958, -71.13191310422089 42.388875850723124, -71.13170545722986 42.38854878018228, -71.13165620786133 42.38856445576539, -71.13158295841077 42.38844899811247, -71.13132506465168 42.388042599764844, -71.13126249048291 42.38794388743156)))",IA,{75171E2D-1B9B-4977-BCBE-F500A23B47C8},,,97195.0984,1334.62513191
35,"MULTIPOLYGON (((-71.13224232193149 42.38803104653049, -71.13217552401491 42.38793276024776, -71.13264643876714 42.387761745550726, -71.13286089563007 42.388076652542374, -71.13296311466401 42.38822677697402, -71.13315525893248 42.38850887554577, -71.13260674934767 42.38859770690749, -71.13260344132453 42.388587296352966, -71.13256833880764 42.388519076664245, -71.13247527192881 42.388373838113104, -71.13224232193149 42.38803104653049)))",C-1,{8E848751-F613-4397-88D6-9C2BDACE2BC6},,,40900.44165,867.434719214
36,"MULTIPOLYGON (((-71.11972014968315 42.38691052498404, -71.11996046765692 42.38688385092966, -71.12013581661601 42.386864398310465, -71.12012894096127 42.38683205053579, -71.12027451493351 42.38681496905538, -71.12042220015701 42.38679764739031, -71.12047802207884 42.38679108113666, -71.12054580835175 42.38678312740098, -71.12066259900773 42.3867697098685, -71.12071667904229 42.38676349448462, -71.1208413223664 42.38674916967485, -71.12086121348537 42.38674687532679, -71.12100900729558 42.386729909995445, -71.12127385085553 42.38669947229396, -71.12131379370234 42.38717487561756, -71.12152270854595 42.38760199048674, -71.12166854499749 42.38790009121039, -71.12135721162903 42.38794782908899, -71.12136364866943 42.38801027770872, -71.1213847356413 42.388111246299204, -71.12139165747276 42.388142194666464, -71.1213932457429 42.38814895028776, -71.12139755624948 42.3881585412514, -71.12140168578648 42.38816744560368, -71.12140689075088 42.38817602420673, -71.12141056290949 42.3881809481623, -71.12138224984761 42.38826674417055, -71.12137320126655 42.388294237346464, -71.120037075654 42.388438561058436, -71.11998549486198 42.388256569090906, -71.1199610597521 42.38817721239977, -71.11991951190227 42.38800735484755, -71.11983224031339 42.38769122482492, -71.1198156988597 42.38763502662843, -71.11980863325853 42.38760350143158, -71.11980552286568 42.387591362392655, -71.11977075317203 42.38747017940787, -71.1197604961625 42.3874338415487, -71.11975197557975 42.38739805823956, -71.11973766941453 42.387364121772066, -71.11972047979654 42.38729878368241, -71.11971385612341 42.387243029853835, -71.11970767696923 42.38714414080874, -71.11970643712785 42.38712256836834, -71.11970599478491 42.38710379750898, -71.11970618169778 42.38708502872933, -71.11970696085099 42.38706626190708, -71.11970864849792 42.387044150329444, -71.11971503882599 42.386954056388504, -71.11972014968315 42.38691052498404)))",C-1,{5F2B3A55-6122-4F59-AF5E-AB4AD103AD78},,,246555.95365,2038.92268643
0,"MULTIPOLYGON (((-71.1298063574038 42.38777108300907, -71.1297658264957 42.38772652623201, -71.12936914583054 42.387122982315844, -71.13078427450051 42.3866194963423, -71.13118524378321 42.386476856252145, -71.13133425078335 42.38669562397795, -71.13137913679908 42.386761488089796, -71.13141066320928 42.3868077991018, -71.13155328567835 42.38701718881664, -71.13162092629297 42.38711663069187, -71.13166973883779 42.38718846186836, -71.13200357569106 42.387679701870574, -71.13126249048291 42.38794388743156, -71.13090179113628 42.3873753960981, -71.13045911232425 42.38753466745808, -71.1298063574038 42.38777108300907)))",C-2B,{7F1370DF-8C7B-4F49-BF70-DF52C5B906E5},,,193516.63875,2079.70606018
38,"MULTIPOLYGON (((-71.13494567467792 42.38656653320866, -71.13502818007466 42.386592534254774, -71.13507923856965 42.3866029041161, -71.13510542951691 42.38660567636214, -71.13514514036297 42.38660684503814, -71.13517157667661 42.38660558427589, -71.13519776338427 42.386602676278905, -71.13522355194998 42.38659820289833, -71.13531356484326 42.386574038645186, -71.1358979888793 42.38639626324867, -71.136608946896 42.3869687269508, -71.13723509859034 42.387472920955545, -71.13636560101857 42.387896438744114, -71.1350374753586 42.38677133938297, -71.13494567467792 42.38656653320866)))",C-1,{9128B23D-ED01-4E5F-9481-3D4C9A2C15CA},,,152237.98925,1712.28292335
77,"MULTIPOLYGON (((-71.12098649094825 42.37841344796107, -71.12124700847576 42.378345594461365, -71.12147442880914 42.378285452074394, -71.12163914808735 42.378238466655944, -71.12127900560994 42.37775514861593, -71.12189198499335 42.377573175072726, -71.122040974906 42.377866429444985, -71.12208467822822 42.37794793467855, -71.12215184409999 42.37809175244951, -71.1228377890657 42.37789445463405, -71.12331476257503 42.37813952609616, -71.12332574900297 42.37814669664845, -71.12333550838926 42.37815482360638, -71.12334120960908 42.3781607694621, -71.12334830118715 42.3781694090573, -71.12335372372945 42.37817864688286, -71.12335609079967 42.378185130635565, -71.1233590332708 42.378200644259294, -71.12335968710349 42.37820893348842, -71.12370845208827 42.37832469455442, -71.12388396175095 42.37857895765721, -71.12395938486856 42.37867936272523, -71.12313841913716 42.3790132637708, -71.12285225786316 42.37909879160415, -71.12284606567646 42.37910069215214, -71.1220731536088 42.37934380469715, -71.12204766572667 42.37935403866276, -71.12204399906179 42.37935446566763, -71.12102044039139 42.37951099528241, -71.12100096388839 42.37880222047541, -71.12099744823207 42.37878980570141, -71.12099540672651 42.37877226437471, -71.12098721358132 42.378441083119135, -71.1209870556665 42.37843655488465, -71.12098649094825 42.37841344796107)))",A-1,{06C3891F-7D74-407F-BA2E-C02329B6B0A2},,,324105.06115,2659.14406716
